cod_prod,nom_prod,concent,nom_form_farm,presentac,fraccion,num_reg_san,nom_titular,nom_fabricante,nom_ifa,nom_rubro,situacion
37337.0,ABRAXANE,100 mg,Polvo Para Suspensión Para Perfusión,Caja  Vial,1.0,EE01892,TECNOFARMA S.A.,ABRAXIS BIOSCIENCE LLC - ESTADOS UNIDOS DE AMERICA,PACLITAXEL,ESPECIALIDAD FARMACEUTICA,ACT
53721.0,ABRAXANE,100 mg,Polvo Para Suspensión Para Perfusión,Caja Vial,1.0,EE01892,BRISTOL-MYERS SQUIBB PERU S.A.,ABRAXIS BIOSCIENCE LLC - ESTADOS UNIDOS DE AMERICA,PACLITAXEL,ESPECIALIDAD FARMACEUTICA,ACT
60462.0,ABRITIGA 250,250 mg,Tableta Recubierta,Caja Frasco x 120 Tabletas Recubiertas,1.0,EE13586,CSP LIFESCIENCES PERU S.A.C.,ZEE LABORATORIES LTD.,ACETATO DE ABIRATERONA,ESPECIALIDAD FARMACEUTICA,ACT
59315.0,ABRYSVO®,,POLVO Y DISOLVENTE PARA SOLUCION INYECTABLE,Caja Vial + Jeringa Precargada + Accesorio,1.0,BE01424,PFIZER S.A.,PFIZER MANUFACTURING BELGIUM N.V.,ANTIGENO F ESTABILIZADO EN PREFUSION DEL SUBGRUPO B DEL VIRUS RESPIRATORIO SINCITIAL (VRS) + ANTIGENO F ESTABILIZADO EN PREFUSION DEL SUBGRUPO A DEL VIRUS RESPIRATORIO SINCITIAL (VRS),PRODUCTO DE ORIGEN BIOLOGICO,ACT
54467.0,ABUBRON BR,500 mg + 8 mg,Cápsula,Caja Envase Blíster Cápsulas,100.0,EN08774,REPRESENTACIONES CASTILLO SOCIEDAD ANONIMA,LABORATORIOS PORTUGAL S.R.L.,AMOXICILINA TRIHIDRATO,ESPECIALIDAD FARMACEUTICA,ACT
55309.0,ABUBRON BR,250 mg/ 5 mL + 4 mg/ 5 mL,Polvo para Suspensión Oral,Caja Frasco x 60 mL,1.0,EN08845,REPRESENTACIONES CASTILLO SOCIEDAD ANONIMA,LABORATORIOS PORTUGAL S.R.L.,AMOXICILINA TRIHIDRATO + BROMHEXINA CLORHIDRATO,ESPECIALIDAD FARMACEUTICA,ACT
50044.0,ABUFENE,500 mg,Tableta Recubierta,Caja Envase Blister Tabletas Recubiertas,100.0,EN02685,DROGUERIA E.S.C. PHARMED CORPORATION S.A.C.,DROGUERIA E.S.C. PHARMED CORPORATION S.A.C.,PARACETAMOL,ESPECIALIDAD FARMACEUTICA,ACT
54104.0,ABXEDA,400 mg/ 16 mL,Concentrado para Solución para Perfusión,Caja Vial x 16 mL,1.0,BE01225,FARMINDUSTRIA S.A.,"UNIVERSAL FARMA, S.L.",BEVACIZUMAB,PRODUCTO DE ORIGEN BIOLOGICO,ACT
53817.0,ABXEDA,100 mg/ 4 mL,Concentrado para Solución para Perfusión,Caja Vial x 4 mL,1.0,BE01222,FARMINDUSTRIA S.A.,FARMINDUSTRIA S.A.,BEVACIZUMAB,PRODUCTO DE ORIGEN BIOLOGICO,ACT
53146.0,ACARIL,10 g + 10 g,Crema,Caja Tubo x 42 g,1.0,EN07130,MEDIFARMA S.A.,MEDIFARMA S.A.,AZUFRE + BENZOATO DE BENCILO,ESPECIALIDAD FARMACEUTICA,ACT
